Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20
Data,0,workout_step,duration_distance,3556.656133,,target_value,0,,custom_target_value_low,62,,custom_target_value_high,69,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1190.916533,,target_value,0,,custom_target_value_low,52,,custom_target_value_high,57,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,4119.927467,,target_value,0,,custom_target_value_low,58,,custom_target_value_high,64,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1786.3748,,target_value,0,,custom_target_value_low,65,,custom_target_value_high,72,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,4039.460133,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1110.4492,,target_value,0,,custom_target_value_low,11,,custom_target_value_high,13,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1062.1688,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,804.6733333,,target_value,0,,custom_target_value_low,72,,custom_target_value_high,80,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1544.9728,,target_value,0,,custom_target_value_low,56,,custom_target_value_high,62,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1367.944667,,target_value,0,,custom_target_value_low,46,,custom_target_value_high,50,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,6308.638933,,target_value,0,,custom_target_value_low,62,,custom_target_value_high,69,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,4795.853067,,target_value,0,,custom_target_value_low,56,,custom_target_value_high,62,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,4795.853067,,target_value,0,,custom_target_value_low,53,,custom_target_value_high,58,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1126.542667,,target_value,0,,custom_target_value_low,58,,custom_target_value_high,64,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,836.8602667,,target_value,0,,custom_target_value_low,72,,custom_target_value_high,80,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3411.814933,,target_value,0,,custom_target_value_low,61,,custom_target_value_high,68,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3234.7868,,target_value,0,,custom_target_value_low,56,,custom_target_value_high,62,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,724.206,,target_value,0,,custom_target_value_low,29,,custom_target_value_high,32,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,target_value,0,,message_index,2,,duration_type,5,,target_type,2,,intensity,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
